instance,parameter,cut_count,known_puzzle,best_solution,lower bound,gap,runtime,node_count,remaining_nodes,status,cpu_type,time_limit,ram
17,2,3000,17,17.0,17.0,0.0,110635.681978,1257128,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
17,2,5000,17,17.0,17.0,0.0,206851.447886,1343085,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
18,2,500,17,17.0,17.0,0.0,17036.110166,707716,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
18,2,1000,17,17.0,17.0,0.0,76234.721363,2282223,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
18,2,3000,17,19.0,16.31,14.157895,345600.0308,4013431,2441849,Time Limit,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
18,2,5000,17,19.0,16.0,15.789474,345600.033987,2165365,1415573,Time Limit,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
19,2,500,17,17.0,17.0,0.0,153031.152007,5364147,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
19,2,1000,17,17.0,17.0,0.0,27179.034247,749126,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
19,2,3000,17,17.0,17.0,0.0,26914.157534,295572,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
19,2,5000,17,17.0,17.0,0.0,173170.040589,1127682,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
20,2,500,17,17.0,17.0,0.0,60441.664868,2362820,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
20,2,1000,17,17.0,17.0,0.0,66198.173018,2377181,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
20,2,3000,17,17.0,17.0,0.0,240607.361907,2588392,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
20,2,5000,17,18.0,15.900457,11.664126,345600.036913,2197447,833417,Time Limit,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
21,2,500,17,17.0,17.0,0.0,129996.294824,3988458,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
21,2,1000,17,17.0,17.0,0.0,32514.520966,940377,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
21,2,3000,17,17.0,17.0,0.0,79003.476154,990167,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
21,2,5000,17,17.0,17.0,0.0,170597.69336,1235740,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
22,2,500,17,17.0,17.0,0.0,2917.022686,91352,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
22,2,1000,17,17.0,17.0,0.0,7646.023776,224767,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
22,2,3000,17,17.0,17.0,0.0,9013.801012,94395,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
